total_cost,total_cost_ic,abs_diff,rel_diff_pct
192352,192352,0,0.0
402500,402500,0,0.0
100000,100000,0,0.0
330582,330582,0,0.0
195613,195613,0,0.0
622615,622615,0,0.0
164631,164631,0,0.0
390300,390300,0,0.0
401042,401042,0,0.0
655532,655532,0,0.0
371250,371250,0,0.0
195825,195825,0,0.0
342124,342124,0,0.0
615180,615180,0,0.0
299693,299693,0,0.0
841361,841361,0,0.0
400000,400000,0,0.0
371250,371250,0,0.0
198323,198323,0,0.0
640842,640842,0,0.0
400000,400000,0,0.0
371250,371250,0,0.0
617907,617907,0,0.0
245069,245069,0,0.0
185019,185019,0,0.0
186250,186250,0,0.0
195444,195444,0,0.0
238713,238713,0,0.0
223500,223500,0,0.0
225000,225000,0,0.0
649794,649794,0,0.0
513683,513683,0,0.0
523302,523302,0,0.0
184837,184837,0,0.0
196188,196188,0,0.0
349391,349391,0,0.0
507738,507738,0,0.0
224595,224595,0,0.0
332114,332114,0,0.0
214902,214902,0,0.0
516327,516327,0,0.0
342991,342991,0,0.0
43428,43428,0,0.0
255860,255860,0,0.0
459143,459143,0,0.0
532296,532296,0,0.0
219000,219000,0,0.0
349093,349093,0,0.0
182500,182500,0,0.0
516407,516407,0,0.0
526973,526973,0,0.0
356423,356423,0,0.0
207625,207625,0,0.0
459143,459143,0,0.0
501533,501533,0,0.0
177100,177100,0,0.0
491104,491104,0,0.0
459143,459143,0,0.0
459143,459143,0,0.0
453153,453153,0,0.0
452516,452516,0,0.0
327536,327536,0,0.0
429486,429486,0,0.0
451900,451900,0,0.0
327652,327652,0,0.0
227254,227254,0,0.0
437221,437221,0,0.0
202504,202504,0,0.0
327765,327765,0,0.0
407175,407175,0,0.0
386817,386817,0,0.0
214829,214829,0,0.0
399032,399032,0,0.0
183423,183423,0,0.0
407175,407175,0,0.0
407175,407175,0,0.0
454924,454924,0,0.0
485868,485868,0,0.0
57731,57731,0,0.0
478163,478163,0,0.0
490282,490282,0,0.0
446903,446903,0,0.0
224738,224738,0,0.0
200184,200184,0,0.0
331432,331432,0,0.0
224516,224516,0,0.0
331432,331432,0,0.0
672282,672282,0,0.0
